TUDF Converter Validation Report
Generated: 22/05/2026 16:54:05
Total Records: 28882
Accepted Records: 28882
Rejected Records: 0

Row Number,Record Status,Segment,Error Code,Field Name,Error Message,Failure Outcome
11,Accepted,,,,,
12,Accepted,,,,,
13,Accepted,,,,,
14,Accepted,,,,,
15,Accepted,,,,,
16,Accepted,,,,,
17,Accepted,,,,,
18,Accepted,,,,,
19,Accepted,,,,,
20,Accepted,,,,,
21,Accepted,,,,,
22,Accepted,,,,,
23,Accepted,,,,,
24,Accepted,,,,,
25,Accepted,,,,,
26,Accepted,,,,,
27,Accepted,,,,,
28,Accepted,,,,,
29,Accepted,,,,,
30,Accepted,,,,,
31,Accepted,,,,,
32,Accepted,,,,,
33,Accepted,,,,,
34,Accepted,,,,,
35,Accepted,,,,,
36,Accepted,,,,,
37,Accepted,,,,,
38,Accepted,,,,,
39,Accepted,,,,,
40,Accepted,,,,,
41,Accepted,,,,,
42,Accepted,,,,,
43,Accepted,,,,,
44,Accepted,,,,,
45,Accepted,,,,,
46,Accepted,,,,,
47,Accepted,,,,,
48,Accepted,,,,,
49,Accepted,,,,,
50,Accepted,,,,,
51,Accepted,,,,,
52,Accepted,,,,,
53,Accepted,,,,,
54,Accepted,,,,,
55,Accepted,,,,,
56,Accepted,,,,,
57,Accepted,,,,,
58,Accepted,,,,,
59,Accepted,,,,,
60,Accepted,,,,,
61,Accepted,,,,,
62,Accepted,,,,,
63,Accepted,,,,,
64,Accepted,,,,,
65,Accepted,,,,,
66,Accepted,,,,,
67,Accepted,,,,,
68,Accepted,,,,,
69,Accepted,,,,,
70,Accepted,,,,,
71,Accepted,,,,,
72,Accepted,,,,,
73,Accepted,,,,,
74,Accepted,,,,,
75,Accepted,,,,,
76,Accepted,,,,,
77,Accepted,,,,,
78,Accepted,,,,,
79,Accepted,,,,,
80,Accepted,,,,,
81,Accepted,,,,,
82,Accepted,,,,,
83,Accepted,,,,,
84,Accepted,,,,,
85,Accepted,,,,,
86,Accepted,,,,,
87,Accepted,,,,,
88,Accepted,,,,,
89,Accepted,,,,,
90,Accepted,,,,,
91,Accepted,,,,,
92,Accepted,,,,,
93,Accepted,,,,,
94,Accepted,,,,,
95,Accepted,,,,,
96,Accepted,,,,,
97,Accepted,,,,,
98,Accepted,,,,,
99,Accepted,,,,,
100,Accepted,,,,,
101,Accepted,,,,,
102,Accepted,,,,,
103,Accepted,,,,,
104,Accepted,,,,,
105,Accepted,,,,,
106,Accepted,,,,,
107,Accepted,,,,,
108,Accepted,,,,,
109,Accepted,,,,,
110,Accepted,,,,,
111,Accepted,,,,,
112,Accepted,,,,,
113,Accepted,,,,,
114,Accepted,,,,,
115,Accepted,,,,,
116,Accepted,,,,,
117,Accepted,,,,,
118,Accepted,,,,,
119,Accepted,,,,,
120,Accepted,,,,,
121,Accepted,,,,,
122,Accepted,,,,,
123,Accepted,,,,,
